Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
6	36.448185616025405	37.0	37.0	37.0	35.0	37.0	ERS185068
7	36.41233761232853	37.0	37.0	37.0	35.0	37.0	ERS185068
8	36.38307117350793	37.0	37.0	37.0	35.0	37.0	ERS185068
9	38.33072949347039	39.0	39.0	39.0	37.0	39.0	ERS185068
10	38.33582606628642	39.0	39.0	39.0	37.0	39.0	ERS185068
11	38.321928996264724	39.0	39.0	39.0	37.0	39.0	ERS185068
12	37.66263655745082	39.0	39.0	39.0	37.0	39.0	ERS185068
13	37.71506086587865	39.0	39.0	39.0	35.0	39.0	ERS185068
14	39.0590183224855	41.0	40.0	41.0	37.0	41.0	ERS185068
15	39.333642894840864	41.0	40.0	41.0	37.0	41.0	ERS185068
16	39.63890116787724	41.0	40.0	41.0	37.0	41.0	ERS185068
17	39.738514366928975	41.0	40.0	41.0	37.0	41.0	ERS185068
18	38.82175241903745	41.0	40.0	41.0	36.0	41.0	ERS185068
19	38.982209682103864	41.0	40.0	41.0	36.0	41.0	ERS185068
20	39.06255593004711	41.0	40.0	41.0	36.0	41.0	ERS185068
21	39.36135947581707	41.0	40.0	41.0	37.0	41.0	ERS185068
22	39.669831872905505	41.0	40.0	41.0	37.0	41.0	ERS185068
23	39.69117691467365	41.0	40.0	41.0	37.0	41.0	ERS185068
24	39.645510459308895	41.0	40.0	41.0	37.0	41.0	ERS185068
25	39.52352595498677	41.0	40.0	41.0	37.0	41.0	ERS185068
26	39.702058462057295	41.0	40.0	41.0	38.0	41.0	ERS185068
27	39.85422571405664	41.0	40.0	41.0	38.0	41.0	ERS185068
28	39.73048764171147	41.0	40.0	41.0	38.0	41.0	ERS185068
