GC_Content	Count	sample
64	4292308.5	ERS185036
65	3817926.0	ERS185036
66	3460038.5	ERS185036
67	3078899.5	ERS185036
68	2702885.5	ERS185036
69	2318800.5	ERS185036
70	2088201.5	ERS185036
71	1914075.0	ERS185036
72	1824544.5	ERS185036
73	1672845.0	ERS185036
74	1408335.5	ERS185036
75	964840.5	ERS185036
76	587225.5	ERS185036
77	502786.5	ERS185036
78	484624.0	ERS185036
79	355584.0	ERS185036
80	223613.0	ERS185036
81	176545.0	ERS185036
82	139230.0	ERS185036
83	119441.5	ERS185036
84	105519.0	ERS185036
85	89239.5	ERS185036
86	67182.5	ERS185036
87	54625.5	ERS185036
88	47901.5	ERS185036
89	46044.5	ERS185036
90	46739.0	ERS185036
91	45715.0	ERS185036
92	47923.5	ERS185036
93	50208.0	ERS185036
94	48140.0	ERS185036
95	46821.0	ERS185036
96	46773.0	ERS185036
97	64340.0	ERS185036
98	87961.5	ERS185036
99	94016.0	ERS185036
100	94016.0	ERS185036
0	1290.0	ERS185125
1	1290.0	ERS185125
2	2259.0	ERS185125
3	3654.0	ERS185125
4	4080.0	ERS185125
5	4080.0	ERS185125
6	4160.0	ERS185125
7	3733.0	ERS185125
8	3170.0	ERS185125
9	2619.0	ERS185125
10	1126.0	ERS185125
11	107.0	ERS185125
12	76.0	ERS185125
13	424.5	ERS185125
14	880.0	ERS185125
15	1081.0	ERS185125
16	1342.0	ERS185125
17	1539.5	ERS185125
18	1799.0	ERS185125
19	3231.0	ERS185125
20	6885.5	ERS185125
21	12162.0	ERS185125
22	15045.5	ERS185125
23	17697.5	ERS185125
24	23945.5	ERS185125
25	28691.5	ERS185125
26	34871.5	ERS185125
27	40811.0	ERS185125
28	44374.5	ERS185125
29	48849.0	ERS185125
30	88497.5	ERS185125
31	143614.5	ERS185125
32	181528.5	ERS185125
33	216839.0	ERS185125
34	292417.0	ERS185125
35	385962.0	ERS185125
36	446020.0	ERS185125
37	502451.0	ERS185125
38	567050.0	ERS185125
39	627996.0	ERS185125
40	720352.5	ERS185125
41	852517.0	ERS185125
42	938347.0	ERS185125
43	907671.5	ERS185125
44	819188.5	ERS185125
45	785403.0	ERS185125
46	735320.5	ERS185125
47	775411.5	ERS185125
48	1163726.5	ERS185125
49	1458544.0	ERS185125
50	1990238.0	ERS185125
51	2521932.0	ERS185125
52	2391635.0	ERS185125
53	2256675.0	ERS185125
54	1857469.5	ERS185125
55	1506848.5	ERS185125
56	1500780.0	ERS185125
57	1404361.5	ERS185125
58	1372965.5	ERS185125
59	1375569.5	ERS185125
60	1353427.0	ERS185125
61	1316661.5	ERS185125
62	1299936.5	ERS185125
63	1277534.5	ERS185125
64	1211183.0	ERS185125
65	1135040.5	ERS185125
66	1031478.5	ERS185125
67	939142.5	ERS185125
68	869474.5	ERS185125
69	780208.0	ERS185125
70	692285.0	ERS185125
71	625765.5	ERS185125
72	578628.0	ERS185125
73	516663.5	ERS185125
74	416223.0	ERS185125
75	260135.5	ERS185125
76	138932.5	ERS185125
77	114138.5	ERS185125
78	107264.0	ERS185125
79	76686.0	ERS185125
80	42872.5	ERS185125
81	32200.5	ERS185125
82	26966.0	ERS185125
83	24508.5	ERS185125
84	22971.5	ERS185125
85	19827.5	ERS185125
86	14032.5	ERS185125
87	10624.0	ERS185125
88	8152.5	ERS185125
89	6335.5	ERS185125
90	6678.0	ERS185125
91	7446.5	ERS185125
92	9115.5	ERS185125
93	10627.5	ERS185125
94	10611.0	ERS185125
95	10218.5	ERS185125
96	10207.0	ERS185125
97	10759.0	ERS185125
98	11101.5	ERS185125
99	10892.0	ERS185125
100	10892.0	ERS185125
0	15263.0	ERS185102
1	15263.0	ERS185102
2	12455.0	ERS185102
3	9725.0	ERS185102
4	9803.0	ERS185102
5	9971.0	ERS185102
6	8442.0	ERS185102
7	5518.5	ERS185102
8	4063.0	ERS185102
9	5153.5	ERS185102
10	6378.5	ERS185102
11	5387.5	ERS185102
12	5615.5	ERS185102
13	6842.0	ERS185102
14	7235.0	ERS185102
15	13338.5	ERS185102
16	21363.5	ERS185102
17	23498.5	ERS185102
18	29509.5	ERS185102
19	39811.5	ERS185102
20	46972.5	ERS185102
21	64119.5	ERS185102
22	80826.5	ERS185102
23	94786.0	ERS185102
24	126409.5	ERS185102
25	173137.5	ERS185102
26	237853.5	ERS185102
27	288915.5	ERS185102
28	356952.5	ERS185102
29	442291.5	ERS185102
30	559908.0	ERS185102
31	750460.5	ERS185102
32	896785.5	ERS185102
33	1014010.0	ERS185102
34	1197990.0	ERS185102
35	1404273.0	ERS185102
36	1608479.0	ERS185102
37	1777710.5	ERS185102
38	1977666.0	ERS185102
39	2231934.5	ERS185102
40	2426308.0	ERS185102
41	2595651.0	ERS185102
42	2776430.5	ERS185102
43	3010259.0	ERS185102
44	3308245.5	ERS185102
45	3724330.0	ERS185102
46	4129954.0	ERS185102
47	4501657.5	ERS185102
48	5217017.5	ERS185102
49	5704500.0	ERS185102
50	6299915.5	ERS185102
51	6895331.0	ERS185102
52	6925138.0	ERS185102
53	7124952.0	ERS185102
54	7438595.0	ERS185102
55	8098757.0	ERS185102
56	8651048.5	ERS185102
57	8648816.0	ERS185102
58	8645371.0	ERS185102
59	8559004.0	ERS185102
60	8051892.5	ERS185102
61	6967638.0	ERS185102
62	6296657.0	ERS185102
63	6078241.0	ERS185102
64	5195195.0	ERS185102
65	4510284.5	ERS185102
66	4185268.5	ERS185102
